organ
fr
agricultur
free
gluten
made
green
dot
bio
franc
ab
biologiqu
vegetarian
vegan
preserv
01
color
sugar
nutriscor
non
francai
french
viand
ad
oil
low
lacto
palm
sustain
carbon
footprint
eco
fsc
öko
flavor
artifici
grade
françai
certifi
label
fat
emballag
halal
milk
pork
salt
meat
itali
natur
germani
utz
gmo
high
pure
pdo
qualiti
societi
pgi
fair
addit
trade
german
distributor
006
transform
lait
kosher
msc
femm
enceint
déconseillé
001
100
10
triman
fisheri
seafood
union
superior
butter
bretagn
produc
bovin
farm
reduc
medal
intermarché
sélection
nl
porcin
san
ru
european
origin
without
volail
spain
belgium
gold
mix
sourc
max
havelaar
fibr
cacao
concour
saveur
b
verordnung
eg
007
agricol
ecocert
class
protein
oko
flavour
général
3
019
advi
