aliment
boisson
produit
snack
fruit
lait
plat
fromag
céréal
biscuit
food
plant
bas
viand
sauc
pomm
beverag
chocolat
légum
dessert
pât
végétal
product
confitur
poisson
yaourt
lebensmittel
déjeun
cereal
nectar
conserv
jus
charcut
pet
fr
getrank
pflanzlich
mat
chip
orig
pain
jambon
milk
epic
grain
huil
confis
tartin
glac
grass
vin
franc
poulet
miel
coqu
ajout
crem
soup
bonbon
surgel
compot
filet
volaill
légumin
foi
veget
san
prépar
bi
frut
tart
marmelad
salad
sirop
beb
rillet
cond
oliv
spread
juic
sardin
thon
sorbet
cuit
édulcor
alimentair
roug
yogurt
meat
élevag
steak
meal
barr
terrin
vegetal
pickl
beurr
flocon
chocol
dulc
tomat
cream
saumon
snacks
orang
sus
frais
vert
drink
dairi
milch
riz
pâtiss
viennois
sauces
vinaigr
caf
sech
sandwich
bread
past
farin
brioch
moutard
chaud
milchprodukt
fraîch
charcuteri
pan
galet
lech
noiset
quich
chee
noir
ques
tomato
tea
champignon
mélang
crêp
multifruit
sal
onde
gazeux
natur
verdur
gâteau
bean
bot
pizz
pur
fleur
sucr
jam
emmental
groceri
amand
enti
fermentiert
bar
infus
sel
oil
breakfast
fat
cake
haricot
farc
croût
getreid
potato
kas
beverages
comt
untabl
chips
madelein
com
escalop
brotaufstrich
congel
dind
bouillon
seed
confiseri
candi
ice
aromat
mayon
gras
mushroom
nut
frit
semoul
yogur
hortaliz
prep
chair
legum
gallet
carn
carott
rice
mouss
nouill
sod
lentill
reconstitu
vierg
confectioneri
butter
lact
dur
corn
compl
con
postr
epicer
desayun
deriv
pastel
concentr
boudin
vanill
canard
epiceri
cook
oils
dair
thé
animal
legumin
virg
caramel
almond
blanc
frucht
substitut
из
gratin
casc
e
aid
tournesol
cuiss
campagn
margarin
cacahuet
cru
и
butt
épic
oignon
win
condiment
raviol
wine
minéral
water
honey
bebid
lasagn
fresc
sausag
fri
porc
poul
doset
fish
col
beignet
raisin
camembert
condimentair
salti
pasta
blanch
mois
citron
foods
muesl
comest
complet
patat
pizzas
peanut
crevet
blé
fleisch
salmon
réfrig
syrup
aceit
bloc
egg
vach
flake
quenel
wheat
tapenad
turron
sop
par
pesc
culinair
сыр
vinegar
frambois
banan
appet
feuill
cidr
coff
ber
croiss
hach
cheddar
mustard
ketchup
sourc
taboul
blond
lardon
растительн
joghurt
coco
extra
cibi
pâqu
crisp
fisch
fum
flak
gum
dériv
maï
appl
di
balsam
herb
mit
italien
kuch
naturel
deshidrat
marin
nougat
barbecu
base
zum
truit
nect
conf
cooki
chipolat
ham
muffin
und
cib
mar
alcool
goût
côt
fruhstuck
semill
protein
biscott
écrem
poudr
susswar
gaufr
chicken
goud
pistach
seafood
noodl
напитк
tortill
mix
industriel
asperg
pudding
jamon
gaufret
noix
kek
brass
produkt
alkohol
assaison
poir
agu
pies
verd
assort
œuf
chick
bacon
sugar
wat
breast
fin
boir
arroc
épinard
moulag
mineral
saint
virgen
poivr
brot
pêch
pl
coc
cer
figu
hareng
tranch
myrtill
beef
pot
vinaigret
cornichon
bovin
cassoulet
breb
cak
hamburg
abricot
micro
