,%,exemple top-4
states,102.35868644419712,"['en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded', 'en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-uploaded', 'en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:categories-to-be-completed, en:brands-to-be-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded', 'en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded']"
states_tags,102.35868644419712,"['en:to-be-completed,en:nutrition-facts-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded', 'en:to-be-completed,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-uploaded', 'en:to-be-completed,en:nutrition-facts-to-be-completed,en:ingredients-to-be-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-to-be-completed,en:categories-to-be-completed,en:brands-to-be-completed,en:packaging-to-be-completed,en:quantity-to-be-completed,en:product-name-completed,en:photos-to-be-validated,en:photos-uploaded', 'en:to-be-checked,en:complete,en:nutrition-facts-completed,en:ingredients-completed,en:expiration-date-to-be-completed,en:packaging-code-to-be-completed,en:characteristics-completed,en:categories-completed,en:brands-completed,en:packaging-completed,en:quantity-completed,en:product-name-completed,en:photos-validated,en:photos-uploaded']"
states_en,102.35868644419712,"['To be completed,Nutrition facts completed,Ingredients to be completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories to be completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be validated,Photos uploaded', 'To be completed,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories to be completed,Brands completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be uploaded', 'To be completed,Nutrition facts to be completed,Ingredients to be completed,Expiration date to be completed,Packaging code to be completed,Characteristics to be completed,Categories to be completed,Brands to be completed,Packaging to be completed,Quantity to be completed,Product name completed,Photos to be validated,Photos uploaded', 'To be checked,Complete,Nutrition facts completed,Ingredients completed,Expiration date to be completed,Packaging code to be completed,Characteristics completed,Categories completed,Brands completed,Packaging completed,Quantity completed,Product name completed,Photos validated,Photos uploaded']"
main_category,37.86795850509697,"['en:plant-based-foods-and-beverages', 'en:snacks', 'en:beverages', 'en:dairies']"
main_category_en,37.86795850509697,"['Plant-based foods and beverages', 'Snacks', 'Beverages', 'Dairies']"
image_url,76.25797424595804,"['https://static.openfoodfacts.org/images/products/346/551/131/435/front_fr.4.400.jpg', 'https://static.openfoodfacts.org/images/products/330/654/000/9235/front_fr.4.400.jpg', 'https://static.openfoodfacts.org/images/products/871/821/538/2959/front_nl.5.400.jpg', 'https://static.openfoodfacts.org/images/products/345/097/003/2995/front_fr.8.400.jpg']"
image_small_url,76.25797424595804,"['https://static.openfoodfacts.org/images/products/376/000/953/2427/front_fr.4.200.jpg', 'https://static.openfoodfacts.org/images/products/359/670/144/0535/front_fr.4.200.jpg', 'https://static.openfoodfacts.org/images/products/871/770/372/0921/front_nl.4.200.jpg', 'https://static.openfoodfacts.org/images/products/001/932/000/1376/front_en.3.200.jpg']"
image_ingredients_url,57.23361450621476,"['https://static.openfoodfacts.org/images/products/020/111/704/5599/ingredients_fr.7.400.jpg', 'https://static.openfoodfacts.org/images/products/376/004/577/5000/ingredients_fr.7.400.jpg', 'https://static.openfoodfacts.org/images/products/321/769/005/5020/ingredients_fr.7.400.jpg', 'https://static.openfoodfacts.org/images/products/306/143/210/6385/ingredients_fr.7.400.jpg']"
image_ingredients_small_url,57.23361450621476,"['https://static.openfoodfacts.org/images/products/326/385/153/8918/ingredients_fr.7.200.jpg', 'https://static.openfoodfacts.org/images/products/479/881/001/2967/ingredients_ar.7.200.jpg', 'https://static.openfoodfacts.org/images/products/841/191/609/6247/ingredients_es.5.200.jpg', 'https://static.openfoodfacts.org/images/products/241/184/302/6245/ingredients_fr.7.200.jpg']"
image_nutrition_url,35.61245237925411,"['https://static.openfoodfacts.org/images/products/001/932/000/1376/nutrition_en.8.400.jpg', 'https://static.openfoodfacts.org/images/products/342/842/005/3203/nutrition_fr.10.400.jpg', 'https://static.openfoodfacts.org/images/products/306/143/210/6385/nutrition_fr.10.400.jpg', 'https://static.openfoodfacts.org/images/products/761/650/091/2519/nutrition_fr.12.400.jpg']"
